counter_party,timestamp,type,eth_value,in_frequency,out_frequency,total_eth_received,total_eth_sent
0xf38cd38d748d383d14565a8a58297b4340085aa2,2016-03-07 02:13:38,sent,0.007,0,1,0.0,0.007
0x89a538387b805a2921e86882d890364df6c3fc23,2016-03-07 02:13:38,sent,0.007,0,1,0.0,0.007
0xce54c6f657b149ad69d30df25e4343d15a8a8bab,2016-03-07 02:13:38,sent,0.007,0,1,0.0,0.007
0x5032122808822970bfa4be80bfc854ceeac6bab1,2016-03-07 02:13:38,sent,0.007,0,1,0.0,0.007
0x4e32d23b542af172689535950bb8ec0f423f5492,2016-03-07 02:13:38,sent,0.007,0,1,0.0,0.007
0x0a20e8de70cffa386c0b73dbf4764809d0d94794,2016-03-07 02:13:38,sent,0.007,0,1,0.0,0.007
0x76a62f94d855f3c6757fe5a389ea8e367fe628f7,2016-03-07 02:13:38,sent,0.007,0,1,0.0,0.007
0xe456871cdaf9b9ec337b1be337e93c67c36c584a,2016-03-07 02:13:38,sent,0.007,0,1,0.0,0.007
0x0ea8b3717c0adf87fdc4a1ba1ca700c6ccbf1b7a,2016-03-07 02:13:38,sent,0.007,0,1,0.0,0.007
0x5f0eba766c7b8119afd29e1caa17b079ca6ce7a6,2016-03-07 02:13:38,sent,0.007,0,1,0.0,0.007
0x5b161c15aff89d358cceed38600735c5c8a7bf59,2016-03-07 02:13:38,sent,0.007,0,1,0.0,0.007
0xbbdbbefb30aab65c7dd5e30f5f9358013bb6792f,2016-03-07 02:13:38,sent,0.007,0,1,0.0,0.007
0x0ced20b8734d290f948c1c1c49d1d021336243f6,2016-03-07 02:13:38,sent,0.007,0,1,0.0,0.007
0xd24fcea6077c01b58b19b39df70be4ba12ee546e,2016-03-07 02:13:38,sent,0.007,0,1,0.0,0.007
0xf0b6b34f23d87ae480d8d0497c67f7e145f03cdd,2016-03-07 02:13:38,sent,0.007,0,1,0.0,0.007
0x84a060d56889fd4ba0f817cbc75a27823eb8cca4,2016-03-07 02:13:38,sent,0.007,0,1,0.0,0.007
0x22d289299c6d4e331d0dfb343333e35a9e2dd311,2016-03-07 02:13:38,sent,0.007,0,1,0.0,0.007
0x5d6ba97ef1e0f87f118edd9372a6b7116226f0c7,2016-03-07 02:13:38,sent,0.007,0,1,0.0,0.007
