counter_party,timestamp,in_frequency,out_frequency,total_eth_received,total_eth_sent
0x0b07f3c09849d8e1618a08003c5aa0e55b9b861a,2023-06-14 02:10:59,1,0,0.0001,0.0
0x0b20d9b5966e5af6539dcd73a0fdd1c5c400351c,2023-10-03 06:20:35,1,0,1.52e-07,0.0
0x0b9824e7741462903adcfbb3254a7c1e06f87439,2023-09-19 16:52:47,1,0,7.96e-07,0.0
0x0ba8b588a957a4c2aa42b2cd8fa7d6bc48113aed,2023-02-27 18:23:35,1,0,1e-06,0.0
0x0bd3892d1195dbdc706f1b034c71a0f1600e0aec,2023-03-12 15:33:23,1,0,0.001,0.0
0x0bd3cc0024324c6cb1cb2513762ba859288a08e0,2022-05-16 13:09:02,1,0,0.0001,0.0
0x0c0918d146719b99b6da241a0672099a897cda82,2023-04-21 21:23:23,1,0,0.0,0.0
0x0c3b705fa75f1b6d98dfd71963bcddf214528e70,2023-07-28 21:12:59,1,0,0.0001,0.0
0x0ca1b34306310ca4fe81c82251bb72978ebbeecf,2022-07-11 18:51:17,0,1,0.0,16.0
0x0cb1e7addaa3f1ca239868f34c6e625fa01dbc02,2023-09-18 14:49:47,1,0,5.79e-07,0.0
0x0cde31cb2b219c64a2a32d16272751d461f0385c,2023-09-26 16:24:23,1,0,4.57e-07,0.0
0x0ce1b33aef719690d8824ba61bbf63dd9dc1fdb7,2023-09-19 14:51:23,1,0,2.51e-07,0.0
0x0ce446aaff2c107d11a03cd820914b1eff79bbbd,2023-09-15 16:48:59,1,0,4.41e-07,0.0
0x0d01e726a8493380db4597b0b56dc4a4b3da912b,2023-09-17 17:05:47,1,0,1.83e-07,0.0
0x0d1513d8d5538cae72637024793d854e865e5b22,2023-09-15 13:44:35,1,0,1.12e-07,0.0
0x0d1a91efc9e6fd56095f5860ee7d8d46b9b30b88,2023-04-09 23:39:59,1,0,0.0,0.0
0x0d1dd06870ec93428d3c6c7936d47288b6e0ba9f,2023-09-13 06:24:59,1,0,2.63e-07,0.0
0x0d2f45f7fbb5a4ab46608ea632daee68030b1efd,2023-11-30 02:17:59,1,0,0.0024695992334363,0.0
0x0d5ec69b65d9ffb28a1be850dbffae09f07bc39e,2023-09-17 17:13:35,1,0,9.82e-07,0.0
0x0d81c5f52108701e4265459f594d6c3845053aad,2023-06-04 15:10:59,1,0,0.0,0.0
0x0d91116df90e288d976c9d1761026fa0e90b085e,2023-09-24 09:31:35,1,0,5.59e-07,0.0
0x0d9bd93d45ba5697a9fce905b4ed3cf6fb7fe5ec,2023-09-19 10:06:59,1,0,7.04e-07,0.0
0x0dff366ac1e7893e0892e0c088bd620dc9dbb0e4,2023-09-16 11:07:11,1,0,7.4e-07,0.0
0x0e046f7a5089bd73eb6e377483275b2910554520,2023-11-12 01:07:47,1,0,0.0001,0.0
